
#################ModelProject 1 - 2dofrobotarm  #########################
2dofrobotarm | Decision |   | 
2dofrobotarm | Homing |   | 
2dofrobotarm | Joint1 |   | 
2dofrobotarm | Joint2 |   | 
2dofrobotarm | Motion |   | 
2dofrobotarm | MotionController |   | 
2dofrobotarm | RobotArm |   | 

#################ModelProject 2 - 3v3basketballpark  #########################
3v3basketballpark | audience | audienceOut,audience  | audienceIn,audience
3v3basketballpark | basketballcourt | scoreOut,totalOut  | totalRoundNumIn
3v3basketballpark | basketballpark | audienceOut moneyOut out totalScoreOut  | totalRoundNumIn audienceIn workerIn
3v3basketballpark | court | scoreOut,totalScoreOut  | totalRoundNumIn
3v3basketballpark | score | totalScoreOut  | totalScoreIn
3v3basketballpark | ticketwindow | moneyOut,audienceOut  | audienceIn,workerIn

#################ModelProject 3 - aircondition  #########################
aircondition | aireac | consumo tempHab actiFrio actiCalor temp  | tempd
aircondition | aireacon | consumo  | tempd
aircondition | gentemp | gentemp  | 
aircondition | proptemp | temphab  | tempe frio calor
aircondition | ucontrol | actifrio acticalor  | tempd tempr
aircondition | ufc | ufc  | ufc

#################ModelProject 4 - airportboarding  #########################
airportboarding | airportboarding | luggageOverWeight,customFail,securityFail  | passengersBoarding
airportboarding | buffer | bufferOut  | notifyDone,bufferIn
airportboarding | custom | customOut,customFailOut  | customIn
airportboarding | luggage | luggageOut,overWeightOut  | luggageIn
airportboarding | proc | procOut,procFeedback  | procIn
airportboarding | queue | queueOut  | queueIn
airportboarding | security | securityOut,securityFailOut  | securityIn
airportboarding | servicecenter | overWeightPassengerNo,customFailPassengerNo,securityFailPassengerNo  | checkIn

#################ModelProject 5 - alternatebitprot  #########################
alternatebitprot | abp | packetSent ackReceived  | controlIn
alternatebitprot | network | in1 in2,out1 out2  | 
alternatebitprot | receiver | receiver  | receiver
alternatebitprot | sender | dataOut,packetSent,ackReceived  | controlIn,ackIn
alternatebitprot | subnet | subnet  | subnet

#################ModelProject 6 - ambulancedispatch  #########################
ambulancedispatch | AmbulanceDispatch | response_out  | AmbulanceDispatch

#################ModelProject 7 - autopilot  #########################
autopilot | APSystem | actualPitch_out  | desiredPitch_in

#################ModelProject 8 - barbershop  #########################
barbershop | barberMA1 | finished cutcontinue  | cust progress
barbershop | barbershopMA1 | cust finished  | newcust next
barbershop | checkhairMA1 | cutcontinue finished  | cust progress
barbershop | cuthairMA1 | progress  | cutcontinue
barbershop | receptionMA1 | cust  | newcust next

#################ModelProject 9 - BattleSimulation  #########################
BattleSimulation | battle |   | 
BattleSimulation | dattack |   | 
BattleSimulation | ddecision |   | 
BattleSimulation | dmove |   | 
BattleSimulation | dragon |   | 
BattleSimulation | kattack |   | 
BattleSimulation | kdecision |   | 
BattleSimulation | kmove |   | 
BattleSimulation | knight |   | 

#################ModelProject 10 - BluetoothSimulator  #########################
BluetoothSimulator | bluetoothSimulator | newMsgArrival  | enableBT
BluetoothSimulator | connectionManager | deviceID getID reqPermission connected  | search IDin connectDevice granted
BluetoothSimulator | dataTransmission | dataSent,dataPort  | dataOut gotData
BluetoothSimulator | pairedDeviceFinder | getID,deviceID  | search IDin
BluetoothSimulator | permissionVerifier | connected,reqPermission  | connectDevice granted
BluetoothSimulator | ReceiverMobile | IDout,accepted,gotData,newMsgArrival  | permit data IDrequested
BluetoothSimulator | SenderMobile | searchDevice,connect,dataOut  | enableBT deviceFound start dataSent

#################ModelProject 11 - BorderControlSystem  #########################
BorderControlSystem | ActionTaker |   | 
BorderControlSystem | AdmissibilityEvaluator |   | 
BorderControlSystem | AdmissibilityInspection |   | 
BorderControlSystem | borderCrossing |   | 
BorderControlSystem | CustomsInspection |   | 
BorderControlSystem | PersonQueryPerformer |   | 
BorderControlSystem | PrimaryInspection |   | 
BorderControlSystem | QueryResultReviewer |   | 
BorderControlSystem | SecondaryInspection |   | 
BorderControlSystem | TrafficInputQueue |   | 
BorderControlSystem | VehicleQueryPerformer |   | 

#################ModelProject 12 - BusVending  #########################
BusVending | displayTest |   | displayTest
BusVending | expendedora | vuelto_salida  | nuevo_boleto cancelar ingreso_moneda
BusVending | expendedoraTest | vuelto_salida  | nuevo_boleto cancelar ingreso_moneda
BusVending | genTest | activar_vm impresion display dar_vuelto  | nuevo_boleto cancelar moneda_verificada
BusVending | printTest |   | impresion
BusVending | vmTest | moneda_verificada  | ingreso_moneda activar_vm
BusVending | vueltoTest | monedas resto  | a_dar

#################ModelProject 13 - Cable_Anchor_Robot  #########################
Cable_Anchor_Robot | engager | engager  | engager
Cable_Anchor_Robot | generator | motorOut1,motorOut2,generator  | generator,done
Cable_Anchor_Robot | motor | motor  | motor
Cable_Anchor_Robot | pathGenerator | pathGenerator,engaged,nextPosition  | pathGenerator,done
Cable_Anchor_Robot | planner | nextPosition,ready,engaged,planner  | planner,done
Cable_Anchor_Robot | queue | queue  | queue,ready
Cable_Anchor_Robot | robot | robot  | robot
Cable_Anchor_Robot | robotGenerator | robotGenerator,engaged,motorOut1,motorOut2  | robotGenerator,done
Cable_Anchor_Robot | translator | motorOut1,motorOut2,translator  | translator,done

#################ModelProject 14 - car  #########################
car | carwash | system_out  | system_in
car | washrinse | wrdout  | wrdin

#################ModelProject 15 - casebasedreasoner  #########################
casebasedreasoner | casebase | prov  | ret,stor
casebasedreasoner | casebasedreasoner | output  | input
casebasedreasoner | cbrcycle | solution  | query,feedback
casebasedreasoner | interface | query,feedback,output  | input,solution
casebasedreasoner | retain | retain  | retain
casebasedreasoner | retrieve | ret,prop  | que,prov
casebasedreasoner | reuse | sol,adpt  | prop
casebasedreasoner | revise | solution,fixed  | feed,adapt

#################ModelProject 16 - city_water  #########################
