
#################ModelProject 1 - basketball park  #########################
basketball park | audience | audience| audience
basketball park | basketball court | score total  | total_round_number
basketball park | basketball park | audience money total_score | total_round_number audience worker
basketball park | court | score total_score  | total_round_number
basketball park | score | total_score  | total_score
basketball park | ticket_window | money audience  | audience worker

#################ModelProject 2 - airport boarding  #########################
airport boarding | airport boarding | luggage_over_weight custom_fail security_fail  | passenger_boarding
airport boarding | buffer | buffer | notify buffer
airport boarding | custom | custom custom_fail | custom
airport boarding | luggage | luggage over_weight  | luggage
airport boarding | process | process process_feedback  | process
airport boarding | queue | queue | queue
airport boarding | security | security security_fail | security
airport boarding | service_center | over_weight_passenger_number custom_fail_passenger_number security_fail_passenger_number | check

#################ModelProject 3 - alternate bit protocol  #########################
alternate bit protocol | alternate bit protocol | packet_sent ack_received | control
alternate bit protocol | network | network | network
alternate bit protocol | receiver | receiver | receiver
alternate bit protocol | sender | data packet_sent ack_received  | control ack
alternate bit protocol | subnet | subnet | subnet

#################ModelProject 4 - ambulance dispatch  #########################
ambulance dispatch | ambulance dispatch | response  | ambulance dispatch

#################ModelProject 5 - auto pilot  #########################
auto pilot | auto pilot system | actual_pitch| desired_pitch

#################ModelProject 6 - barbershop  #########################
barbershop | barber | finished cut_continue  | custom progress
barbershop | barbershop | custom finished  | new_custom next
barbershop | check hair | cut_continue finished  | custom progress
barbershop | cut hair | progress  | cut_continue
barbershop | reception | custom  | new_custom next

#################ModelProject 7 - bluetooth simulator  #########################
bluetooth simulator | bluetooth simulator | new_message_arrival| enable_bluetooth
bluetooth simulator | connection manager | device_ID get_ID request_permission connected  | search ID connect_device granted
bluetooth simulator | data transmission | data_sent data_port  | data got_data
bluetooth simulator | paired device finder | get_ID device_ID  | search ID
bluetooth simulator | permission verifier | connected request_permission  | connect_device granted
bluetooth simulator | receiver mobile | ID accepted got_data new_message_arrival| permit data ID_requested
bluetooth simulator | sender mobile | search_device connect data  | enable_bluetooth device_found start data_sent

#################ModelProject 8 - cable_anchor_robot  #########################
cable_anchor_robot | engager | engager  | engager
cable_anchor_robot | generator | motor generator  | generator done
cable_anchor_robot | motor | motor  | motor
cable_anchor_robot | path generator | path_generator engaged next_position  | path_generator done
cable_anchor_robot | planner | next_position ready engaged planner  | planner done
cable_anchor_robot | queue | queue  | queue ready
cable_anchor_robot | robot | robot  | robot
cable_anchor_robot | robot generator | robot_generator engaged motor| robot_generator done
cable_anchor_robot | translator | motor translator  | translator done

#################ModelProject 9 - case based reasoner  #########################
case based reasoner | case based | provide  | retain store
case based reasoner | case based reasoner | case_based_reasoner  | case_based_reasoner
case based reasoner | case based reasoner cycle | solution  | query feedback
case based reasoner | interface | query feedback output  | input solution
case based reasoner | retain | retain  | retain
case based reasoner | retrieve | retrieve proposed  | query provide
case based reasoner | reuse | solution adapt  | proposed
case based reasoner | revise | solution fixed  | feed adapt

#################ModelProject 10 - city water  #########################
city water | city water | flow state level  | start stop water_start water_stop power
city water | pump | state flow  | start stop level low_level power
city water | pump station | flow state level  | flow_water_well start stop power
city water | reservoir | level low_level  | flow_water_well flow_pump_station
city water | water well pump | flow  | start stop

#################ModelProject 11 - clock  #########################
clock | alarm clock | displayed_time buzzer_on  | hour minute time_set alarm_set alarm_on snooze
clock | alarm controller | alarm_time buzzer_on  | time_of_day hour minute alarm_set time_set snooze alarm_on
