#################ModelProject 2 - 3v3basketballpark  #########################
3v3basketballpark | audience | audienceOut,audience  | audienceIn,audience
3v3basketballpark | basketballcourt | scoreOut,totalOut  | totalRoundNumIn
3v3basketballpark | basketballpark | audienceOut moneyOut out totalScoreOut  | totalRoundNumIn audienceIn workerIn
3v3basketballpark | court | scoreOut,totalScoreOut  | totalRoundNumIn
3v3basketballpark | score | totalScoreOut  | totalScoreIn
3v3basketballpark | ticketwindow | moneyOut,audienceOut  | audienceIn,workerIn


#################ModelProject 4 - airportboarding  #########################
airportboarding | airportboarding | luggageOverWeight,customFail,securityFail  | passengersBoarding
airportboarding | buffer | bufferOut  | notifyDone,bufferIn
airportboarding | custom | customOut,customFailOut  | customIn
airportboarding | luggage | luggageOut,overWeightOut  | luggageIn
airportboarding | proc | procOut,procFeedback  | procIn
airportboarding | queue | queueOut  | queueIn
airportboarding | security | securityOut,securityFailOut  | securityIn
airportboarding | servicecenter | overWeightPassengerNo,customFailPassengerNo,securityFailPassengerNo  | checkIn

#################ModelProject 5 - alternatebitprot  #########################
alternatebitprot | abp | packetSent ackReceived  | controlIn
alternatebitprot | network | in1 in2,out1 out2  | 
alternatebitprot | receiver | receiver  | receiver
alternatebitprot | sender | dataOut,packetSent,ackReceived  | controlIn,ackIn
alternatebitprot | subnet | subnet  | subnet

#################ModelProject 6 - ambulancedispatch  #########################
ambulancedispatch | AmbulanceDispatch | response_out  | AmbulanceDispatch

#################ModelProject 7 - autopilot  #########################
autopilot | APSystem | actualPitch_out  | desiredPitch_in

#################ModelProject 8 - barbershop  #########################
barbershop | barberMA1 | finished cutcontinue  | cust progress
barbershop | barbershopMA1 | cust finished  | newcust next
barbershop | checkhairMA1 | cutcontinue finished  | cust progress
barbershop | cuthairMA1 | progress  | cutcontinue
barbershop | receptionMA1 | cust  | newcust next


#################ModelProject 10 - BluetoothSimulator  #########################
BluetoothSimulator | bluetoothSimulator | newMsgArrival  | enableBT
BluetoothSimulator | connectionManager | deviceID getID reqPermission connected  | search IDin connectDevice granted
BluetoothSimulator | dataTransmission | dataSent,dataPort  | dataOut gotData
BluetoothSimulator | pairedDeviceFinder | getID,deviceID  | search IDin
BluetoothSimulator | permissionVerifier | connected,reqPermission  | connectDevice granted
BluetoothSimulator | ReceiverMobile | IDout,accepted,gotData,newMsgArrival  | permit data IDrequested
BluetoothSimulator | SenderMobile | searchDevice,connect,dataOut  | enableBT deviceFound start dataSent


#################ModelProject 13 - Cable_Anchor_Robot  #########################
Cable_Anchor_Robot | engager | engager  | engager
Cable_Anchor_Robot | generator | motorOut1,motorOut2,generator  | generator,done
Cable_Anchor_Robot | motor | motor  | motor
Cable_Anchor_Robot | pathGenerator | pathGenerator,engaged,nextPosition  | pathGenerator,done
Cable_Anchor_Robot | planner | nextPosition,ready,engaged,planner  | planner,done
Cable_Anchor_Robot | queue | queue  | queue,ready
Cable_Anchor_Robot | robot | robot  | robot
Cable_Anchor_Robot | robotGenerator | robotGenerator,engaged,motorOut1,motorOut2  | robotGenerator,done
Cable_Anchor_Robot | translator | motorOut1,motorOut2,translator  | translator,done


#################ModelProject 15 - casebasedreasoner  #########################
casebasedreasoner | casebase | prov  | ret,stor
casebasedreasoner | casebasedreasoner | output  | input
casebasedreasoner | cbrcycle | solution  | query,feedback
casebasedreasoner | interface | query,feedback,output  | input,solution
casebasedreasoner | retain | retain  | retain
casebasedreasoner | retrieve | ret,prop  | que,prov
casebasedreasoner | reuse | sol,adpt  | prop
casebasedreasoner | revise | solution,fixed  | feed,adapt

#################ModelProject 16 - city_water  #########################
city_water | city_water | flow_out,state_out1,state_out2,level  | start_in1,stop_in1,start_in2,stop_in2,wstart_in1,wstop_in1,wstart_in2,wstop_in2,power_in
