
#################ModelProject 1 - 3v3basketballpark  #########################
BasketballPark | audience | audienceOut audience  | audienceIn audience
BasketballPark | basketballcourt | scoreOut totalOut  | totalRoundNumIn
BasketballPark | basketballpark | audienceOut moneyOut out totalScoreOut  | totalRoundNumIn audienceIn workerIn
BasketballPark | court | scoreOut totalScoreOut  | totalRoundNumIn
BasketballPark | score | totalScoreOut  | totalScoreIn
BasketballPark | ticketwindow | moneyOut audienceOut  | audienceIn workerIn

#################ModelProject 2 - airportboarding  #########################
airport boarding | airportboarding | luggageOverWeight customFail securityFail  | passengersBoarding
airport boarding | buffer | bufferOut  | notifyDone bufferIn
airport boarding | custom | customOut customFailOut  | customIn
airport boarding | luggage | luggageOut overWeightOut  | luggageIn
airport boarding | proc | procOut procFeedback  | procIn
airport boarding | queue | queueOut  | queueIn
airport boarding | security | securityOut securityFailOut  | securityIn
airport boarding | servicecenter | overWeightPassengerNo customFailPassengerNo securityFailPassengerNo  | checkIn

#################ModelProject 3 - alternatebitprot  #########################
alternate bit protocol | abp | packetSent ackReceived  | controlIn
alternate bit protocol | network | in1 in2 out1 out2  | 
alternate bit protocol | receiver | receiver  | receiver
alternate bit protocol | sender | dataOut packetSent ackReceived  | controlIn ackIn
alternate bit protocol | subnet | subnet  | subnet

#################ModelProject 4 - ambulancedispatch  #########################
ambulance dispatch | AmbulanceDispatch | response_out  | AmbulanceDispatch

#################ModelProject 5 - autopilot  #########################
auto pilot | APSystem | actualPitch_out  | desiredPitch_in

#################ModelProject 6 - barbershop  #########################
barbershop | barberMA1 | finished cutcontinue  | cust progress
barbershop | barbershopMA1 | cust finished  | newcust next
barbershop | checkhairMA1 | cutcontinue finished  | cust progress
barbershop | cuthairMA1 | progress  | cutcontinue
barbershop | receptionMA1 | cust  | newcust next

#################ModelProject 7 - BluetoothSimulator  #########################
BluetoothSimulator | bluetoothSimulator | newMsgArrival  | enableBT
BluetoothSimulator | connectionManager | deviceID getID reqPermission connected  | search IDin connectDevice granted
BluetoothSimulator | dataTransmission | dataSent dataPort  | dataOut gotData
BluetoothSimulator | pairedDeviceFinder | getID deviceID  | search IDin
BluetoothSimulator | permissionVerifier | connected reqPermission  | connectDevice granted
BluetoothSimulator | ReceiverMobile | IDout accepted gotData newMsgArrival  | permit data IDrequested
BluetoothSimulator | SenderMobile | searchDevice connect dataOut  | enableBT deviceFound start dataSent

#################ModelProject 8 - Cable_Anchor_Robot  #########################
Cable_Anchor_Robot | engager | engager  | engager
Cable_Anchor_Robot | generator | motorOut1 motorOut2 generator  | generator done
Cable_Anchor_Robot | motor | motor  | motor
Cable_Anchor_Robot | pathGenerator | pathGenerator engaged nextPosition  | pathGenerator done
Cable_Anchor_Robot | planner | nextPosition ready engaged planner  | planner done
Cable_Anchor_Robot | queue | queue  | queue ready
Cable_Anchor_Robot | robot | robot  | robot
Cable_Anchor_Robot | robotGenerator | robotGenerator engaged motorOut1 motorOut2  | robotGenerator done
Cable_Anchor_Robot | translator | motorOut1 motorOut2 translator  | translator done

#################ModelProject 9 - casebasedreasoner  #########################
case based reasoner | casebase | prov  | ret stor
case based reasoner | casebasedreasoner | output  | input
case based reasoner | cbrcycle | solution  | query feedback
case based reasoner | interface | query feedback output  | input solution
case based reasoner | retain | retain  | retain
case based reasoner | retrieve | ret prop  | que prov
case based reasoner | reuse | sol adpt  | prop
case based reasoner | revise | solution fixed  | feed adapt

#################ModelProject 10 - city_water  #########################
city_water | city_water | flow_out state_out1 state_out2 level  | start_in1 stop_in1 start_in2 stop_in2 wstart_in1 wstop_in1 wstart_in2 wstop_in2 power_in
city_water | pump | state_out1 state_out2 flow_out  | start_in1 start_in2 stop_in1 stop_in2 level_in low_level_in power_in
city_water | pump_station | flow_out state_out1 state_out2 level  | q_in start_in1 stop_in1 start_in2 stop_in2 power_in
city_water | reservoir | level_out low_level_out  | q_in qp_in
city_water | well_pump | flow_out  | start_in1 start_in2 stop_in1 stop_in2

#################ModelProject 11 - clock  #########################
clock | alarmClock | displayed_time buzzer_on  | hours minutes time_set alarm_set alarm_on snooze
clock | alarmController | alarm_time buzzer_on  | time_of_day hours minutes alarm_set time_set snooze alarm_on
clock | alarmRegTest | c_alarm_time  | c_alarm_set c_hours c_minutes
clock | buzzerDriverTest | c_buzzer_on  | c_time_set c_alarm_set c_alarm_on c_time_match c_snooze
clock | hrRegTest | c_time_hours  | c_time_set c_hours c_wrap_around
clock | minRegTest | c_time_minutes c_wrap_around  | c_time_set c_minutes
clock | timeReg | c_time_of_day  | c_time_set c_hours c_minutes
clock | timeRegister | time_of_day  | time_set hours minutes

#################ModelProject 12 - garagedoor  #########################
garage door | alarmGen | minor_alarm major_alarm  | unauth_attempt emerg alarm_reset
garage door | codeCont | incre validCode emerg  | input_code open_request emerg_open
garage door | counter | unauth_attempt  | incre
garage door | doorCont | validCode emerg unauth_attempt doorOpen  | input_code open_request emerg_open
garage door | doorTimer | doorOpen  | validCode
garage door | garageDoor | doorOpen minor_alarm major_alarm inlon outlon  | input_code open_request emerg_open alarm_reset motion light
garage door | lightIn | inlon  | validCode
garage door | lightOut | outlon  | motion light

#################ModelProject 13 - GSM_Authentication_Sim  #########################
GSM_Authentication_Sim | AccessControl | Rand SRES_1  | MaxValidId Id
GSM_Authentication_Sim | GSM_Auth_Sim_ | Ok  | MaxValidId On
GSM_Authentication_Sim | MobileNetwork | RAND Ok  | MaxValidId Id SRES_2
GSM_Authentication_Sim | MobileSwitchingCenter | Ok  | SRES_1 SRES_2
GSM_Authentication_Sim | SIMCard | Id SRES_2  | On Rand

#################ModelProject 14 - hospitalLaundry  #########################
hospitalLaundry | hospitalLaundry | shortAmount shipped dirty  | 
hospitalLaundry | hospitalMA-test1 | dirty  | clean
hospitalLaundry | laundromatMA-test1 | shipped shortAmount  | dirty
hospitalLaundry | laundryCleaningMA-test1 | clean  | dirty
hospitalLaundry | laundryShippingMA-test1 | shipped shortAmount  | clean

#################ModelProject 15 - HouseHeating  #########################
HouseHeating | controller | HeaterCntrSignal  | Troom
HouseHeating | generat | Tout  | 
HouseHeating | heater | HeatGain  | HeaterCntrSignal Troom
HouseHeating | HouseHeatSystem |   | 
